marca,nombre_vehiculo,bateria,caballo_fuerza,velocidad_max,performance,precio,combustible,asientos,torque,bateria_unidad,bateria_valor,caballo_fuerza_unidad
jaguar land rover,Jaguar XE R-Dynamic,1999 cc (I4),340,250,5.4,60000.0,gasolina,5,450,cc,19994.0,
jaguar land rover,Jaguar F-Type SVR,5000 cc (V8),575,320,3.7,120000.0,gasolina,2,700,cc,50008.0,
jaguar land rover,Jaguar I-PACE Electric Performance,90 kWh (Battery),400,200,4.5,85000.0,electrico,5,696,kWh,90.0,
jaguar land rover,Jaguar F-PACE SVR,5000 cc (V8),550,283,4.0,85000.0,gasolina,5,700,cc,50008.0,
jaguar land rover,Jaguar XE S,1999 cc (I4),340,250,5.3,55000.0,gasolina,5,450,cc,19994.0,
jaguar land rover,Jaguar XF R-Dynamic,1999 cc (I4) / 2995 cc (V6),340,250,5.4,65000.0,gasolina,5,480,cc,1999429956.0,
jaguar land rover,Jaguar XJ LWB (Long Wheelbase),2995 cc (V6),300,250,6.0,90000.0,gasolina,5,400,cc,29956.0,
jaguar land rover,Jaguar F-Type Heritage Edition,5000 cc (V8),550,300,3.9,110000.0,gasolina,2,680,cc,50008.0,
jaguar land rover,Jaguar E-PACE S,1999 cc (I4),200,230,7.0,50000.0,gasolina,5,430,cc,19994.0,
jaguar land rover,Jaguar I-PACE HSE,90 kWh (Battery),400,200,4.5,90000.0,electrico,5,696,kWh,90.0,
jaguar land rover,Jaguar F-Type V8 R,5000 cc (V8),550,300,3.9,100000.0,gasolina,2,680,cc,50008.0,
jaguar land rover,Jaguar F-Type R-Dynamic,1999 cc (I4) / 2995 cc (V6),300,250,5.1,70000.0,gasolina,2,400,cc,1999429956.0,
jaguar land rover,Jaguar XE P300 R-Dynamic,1999 cc (I4),300,250,5.5,55000.0,gasolina,5,400,cc,19994.0,
jaguar land rover,Jaguar XF Sportbrake,1999 cc (I4) / 2995 cc (V6),250,250,6.5,60000.0,gasolina,5,400,cc,1999429956.0,
jaguar land rover,Jaguar I-PACE EV400 HSE,90 kWh (Battery),400,200,4.5,85000.0,electrico,5,696,kWh,90.0,
jaguar land rover,Jaguar F-PACE S 30t AWD,1999 cc (I4),247,225,6.4,60000.0,gasolina,5,365,cc,19994.0,
jaguar land rover,Jaguar E-PACE R-Dynamic,1999 cc (I4),246,230,6.8,55000.0,gasolina,5,430,cc,19994.0,
jaguar land rover,Jaguar XJ50,2995 cc (V6),300,250,6.0,80000.0,gasolina,5,400,cc,29956.0,
jaguar land rover,Jaguar F-Type 75th Anniversary Edition,5000 cc (V8),550,300,3.9,100000.0,gasolina,2,680,cc,50008.0,
jaguar land rover,Jaguar F-PACE S AWD,1999 cc (I4) / 2995 cc (V6),340,250,5.4,65000.0,gasolina,5,480,cc,1999429956.0,
jaguar land rover,Jaguar XE SE,1999 cc (I4),250,240,6.2,50000.0,gasolina,5,365,cc,19994.0,
jaguar land rover,Jaguar F-Type V6 S Convertible,2995 cc (V6),380,280,4.8,80000.0,gasolina,2,460,cc,29956.0,
jaguar land rover,Jaguar XE R-Sport AWD,1999 cc (I4) / 2995 cc (V6),300,250,5.5,55000.0,gasolina,5,400,cc,1999429956.0,
jaguar land rover,Jaguar XF Portfolio AWD,1999 cc (I4) / 2995 cc (V6),340,250,5.4,60000.0,gasolina,5,450,cc,1999429956.0,
jaguar land rover,Jaguar F-Type Coupe R,5000 cc (V8),550,300,3.9,100000.0,gasolina,2,680,cc,50008.0,
jaguar land rover,Jaguar I-PACE First Edition,90 kWh (Battery),400,200,4.5,85000.0,electrico,5,696,kWh,90.0,
jaguar land rover,Jaguar F-PACE Prestige AWD,1999 cc (I4) / 2995 cc (V6),340,250,5.4,65000.0,gasolina,5,480,cc,1999429956.0,
jaguar land rover,Jaguar XJ Supercharged,5000 cc (V8),510,280,4.2,90000.0,gasolina,5,625,cc,50008.0,
jaguar land rover,Jaguar F-Type P450 AWD,5000 cc (V8),450,290,4.0,90000.0,gasolina,2,600,cc,50008.0,
jaguar land rover,Jaguar F-PACE P400e Plug-in Hybrid,1999 cc (I4) + Electric,398,220,5.1,75000.0,híbrido enchufable,5,640,cc,19994.0,
jaguar land rover,Jaguar F-Type P300 Coupe,1999 cc (I4),300,250,5.5,60000.0,gasolina,2,400,cc,19994.0,
acura,NSX Type S,"3,493 cc (V6)",600,307,2.9,157000.0,hibrido,2,666,cc,34936.0,
acura,TLX PMC Edition,"3,500 cc (V6)",290,250,5.7,62000.0,gasolina,5,362,cc,35006.0,
acura,MDX Advance,"3,500 cc (V6)",290,190,6.0,60000.0,gasolina,7,362,cc,35006.0,
acura,RDX Technology,"1,500 cc (I4)",272,210,6.6,45000.0,gasolina,5,400,cc,15004.0,
acura,ILX Premium,"2,400 cc (I4)",201,200,6.6,30000.0,gasolina,5,180,cc,24004.0,
acura,TLX A-Spec,"3,500 cc (V6)",290,250,5.7,50000.0,gasolina,5,362,cc,35006.0,
acura,RDX SH-AWD,"1,500 cc (I4)",272,210,6.6,50000.0,gasolina,5,400,cc,15004.0,
acura,MDX SH-AWD,"3,500 cc (V6)",290,190,6.0,55000.0,gasolina,7,362,cc,35006.0,
acura,RDX Platinum Elite,"1,500 cc (I4)",272,210,6.6,55000.0,gasolina,5,400,cc,15004.0,
acura,TLX A-Spec Sedan,"3,500 cc (V6)",290,250,5.7,50000.0,gasolina,5,362,cc,35006.0,
acura,TLX 2.4L,"2,400 cc",206,210,6.0,35000.0,gasolina,5,247,cc,2400.0,
acura,MDX Hybrid,"3,500 cc",321,190,6.0,55000.0,hibrido,7,335,cc,3500.0,
acura,RDX Hybrid,"1,500 cc",247,210,6.6,50000.0,hibrido,5,400,cc,1500.0,
acura,ILX Technology Package,"2,400 cc",201,200,6.6,30000.0,gasolina,5,180,cc,2400.0,
acura,NSX GT3 (Track Version),"3,493 cc",500,300,3.0,150000.0,hibrido,2,600,cc,3493.0,
acura,RDX Turbo AWD,"1,500 cc",272,210,6.6,45000.0,gasolina,5,400,cc,1500.0,
acura,TLX 3.5L V6,"3,500 cc",290,250,5.7,50000.0,gasolina,5,362,cc,3500.0,
acura,ILX Special Edition,"2,400 cc",201,200,6.6,30000.0,gasolina,5,180,cc,2400.0,
acura,MDX SH-AWD w/Technology Package,"3,500 cc",290,190,6.0,55000.0,gasolina,7,362,cc,3500.0,
acura,NSX 3.5L Hybrid Coupe,"3,493 cc",537,307,2.9,157000.0,hibrido,2,666,cc,3493.0,
acura,MDX Elite,"3,500 cc",290,190,6.0,58000.0,gasolina,7,362,cc,3500.0,
acura,TLX V6 Advance,"3,500 cc",290,250,5.7,46000.0,gasolina,5,362,cc,3500.0,
acura,NSX Carbon Edition,"3,493 cc",537,307,2.9,157000.0,hibrido,2,666,cc,3493.0,
acura,RDX Turbo SH-AWD,"1,500 cc",272,210,6.6,42000.0,gasolina,5,400,cc,1500.0,
acura,ILX Technology Plus,"2,400 cc",201,200,6.6,28000.0,gasolina,5,180,cc,2400.0,
acura,TLX Type S PMC Edition,"3,000 cc",355,250,5.1,54000.0,gasolina,5,480,cc,3000.0,
acura,MDX Sport Hybrid,"3,500 cc",321,190,6.0,52000.0,hibrido,7,335,cc,3500.0,
peugeot,208,"1,199 cc",82,180,10.5,22000.0,gasolina,5,160,cc,1199.0,
peugeot,2008,"1,199 cc",100,190,9.0,25000.0,gasolina,5,205,cc,1199.0,
peugeot,301,"1,598 cc",115,185,10.0,23500.0,gasolina,5,150,cc,1598.0,
peugeot,308,"1,598 cc",130,200,8.0,28000.0,gasolina,5,230,cc,1598.0,
peugeot,3008,"1,598 cc",180,210,7.5,32000.0,gasolina,5,400,cc,1598.0,
peugeot,5008,"1,998 cc",165,200,9.5,35000.0,diesel,7,400,cc,1998.0,
peugeot,508,"1,998 cc",180,235,8.0,35500.0,gasolina,5,300,cc,1998.0,
peugeot,Partner,"1,560 cc",75,160,12.0,22500.0,diesel,5,200,cc,1560.0,
peugeot,Expert,"1,997 cc",120,180,10.0,30000.0,diesel,3,300,cc,1997.0,
peugeot,Boxer,"2,200 cc",140,160,11.0,32000.0,diesel,3,340,cc,2200.0,
peugeot,e-208,50 kWh,136,150,8.1,35000.0,electrico,5,260,kWh,50.0,
peugeot,e-2008,50 kWh,136,150,8.5,38000.0,electrico,5,260,kWh,50.0,
peugeot,208 GTI,"1,598 cc",208,230,6.5,28000.0,gasolina,5,300,cc,1598.0,
peugeot,308 GTI,"1,598 cc",270,250,6.0,35000.0,gasolina,5,330,cc,1598.0,
peugeot,508 PSE (Peugeot Sport Engineered),"1,598 cc (petrol) + Electric Motor",360,250,5.2,55000.0,hibrido,5,520,cc,1598.0,
peugeot,308 Allure,"1,199 cc",130,205,9.3,25000.0,gasolina,5,230,cc,1199.0,
peugeot,2008 Allure,"1,199 cc",130,200,9.7,27000.0,gasolina,5,230,cc,1199.0,
peugeot,3008 Allure,"1,499 cc",180,210,8.0,30000.0,gasolina,5,250,cc,1499.0,
peugeot,5008 Allure,"1,499 cc",180,200,8.5,33000.0,gasolina,7,250,cc,1499.0,
peugeot,508 Allure,"1,499 cc",180,225,8.0,35000.0,gasolina,5,250,cc,1499.0,
peugeot,3008 GT,"1,598 cc",200,220,7.5,35000.0,gasolina,5,280,cc,1598.0,
peugeot,508 GT,"1,598 cc",225,235,6.8,40000.0,gasolina,5,300,cc,1598.0,
peugeot,3008 GT Hybrid,"1,598 cc (petrol) + Electric Motor",300,235,6.0,45000.0,hibrido,5,400,cc,1598.0,
peugeot,5008 GT Hybrid,"1,598 cc (petrol) + Electric Motor",300,210,6.5,48000.0,hibrido,7,400,cc,1598.0,
peugeot,208 Allure Premium,"1,199 cc",130,200,9.5,28000.0,gasolina,5,230,cc,1199.0,
peugeot,Partner Tepee,"1,560 cc",100,170,12.0,25000.0,diesel,5,260,cc,1560.0,
peugeot,Expert L2H1,"1,997 cc",120,160,13.0,30000.0,diesel,3,320,cc,1997.0,
peugeot,Boxer L2H2,"2,200 cc",130,140,14.0,35000.0,diesel,3,350,cc,2200.0,
peugeot,Partner Electric,-,136,130,9.0,40000.0,electrico,5,260,,,
peugeot,Expert Electric,-,136,130,9.5,45000.0,electrico,5,260,,,
peugeot,208 PSE (Peugeot Sport Engineered),"1,598 cc (petrol) + Electric Motor",225,250,5.5,45000.0,hibrido,5,360,cc,1598.0,
peugeot,308 PSE,"1,598 cc (petrol) + Electric Motor",360,250,5.0,55000.0,hibrido,5,520,cc,1598.0,
peugeot,508 PSE,"1,598 cc (petrol) + Electric Motor",360,250,5.2,60000.0,hibrido,5,520,cc,1598.0,
peugeot,3008 PSE,"1,598 cc (petrol) + Electric Motor",300,235,6.0,50000.0,hibrido,5,400,cc,1598.0,
peugeot,2008 Active,"1,199 cc",100,190,11.2,22000.0,gasolina,5,205,cc,1199.0,
peugeot,3008 Active,"1,499 cc",130,200,10.0,30000.0,gasolina,5,240,cc,1499.0,
peugeot,5008 Active,"1,499 cc",130,190,10.5,33000.0,gasolina,7,240,cc,1499.0,
peugeot,3008 Allure Premium,"1,499 cc",130,200,9.8,32000.0,gasolina,5,240,cc,1499.0,
peugeot,5008 Allure Premium,"1,499 cc",130,190,10.2,35000.0,gasolina,7,240,cc,1499.0,
peugeot,3008 GT Line,"1,598 cc",180,210,8.5,35000.0,gasolina,5,250,cc,1598.0,
peugeot,5008 GT Line,"1,598 cc",180,200,9.0,38000.0,gasolina,7,250,cc,1598.0,
peugeot,2008 GT,"1,199 cc",130,200,9.3,25000.0,gasolina,5,230,cc,1199.0,
peugeot,5008 GT,"1,598 cc",180,210,8.2,40000.0,gasolina,7,250,cc,1598.0,
peugeot,508 SW (Station Wagon),"1,598 cc",180,220,8.4,35000.0,gasolina,5,300,cc,1598.0,
peugeot,508 Saloon,"1,598 cc",180,210,8.6,37000.0,gasolina,5,300,cc,1598.0,
peugeot,308 Saloon,"1,199 cc",130,200,9.0,28000.0,gasolina,5,230,cc,1199.0,
peugeot,301 Sedan,"1,199 cc",82,180,12.0,20000.0,gasolina,5,115,cc,1199.0,
peugeot,208 Sedan,"1,199 cc",100,190,11.2,22000.0,gasolina,5,205,cc,1199.0,
ford,Fusion (Mondeo),"1,500 - 2,000 cc",160,220,7.5,25000.0,gasolina/hibrido,5,200,cc,1500.0,
ford,Taurus,"2,000 - 3,500 cc",200,220,6.5,30000.0,gasolina,5,300,cc,2000.0,
ford,Fiesta,"1,000 - 1,500 cc",85,200,7.0,15000.0,gasolina,5,130,cc,1000.0,
ford,Focus,"1,000 - 2,000 cc",120,220,6.5,20000.0,gasolina,5,150,cc,1000.0,
ford,KA+,"1,200 cc",70,165,10.5,12000.0,gasolina,5,100,cc,1200.0,
ford,EcoSport,"1,000 - 2,000 cc",123,180,9.0,20000.0,gasolina,5,170,cc,1000.0,
ford,Escape (Kuga),"1,500 - 2,500 cc",181,190,7.5,25000.0,gasolina/hibrido,5,230,cc,1500.0,
ford,Edge,"2,000 - 2,700 cc",250,200,6.5,35000.0,gasolina,5,400,cc,2000.0,
ford,Explorer,"2,300 - 3,000 cc",300,200,6.0,35000.0,gasolina,7,420,cc,2300.0,
ford,Expedition,"3,500 - 5,400 cc",375,180,6.5,50000.0,gasolina,8,650,cc,3500.0,
ford,Bronco,"2,300 - 2,700 cc",275,200,7.5,30000.0,gasolina,4,400,cc,2300.0,
ford,Bronco Sport,"1,500 - 2,000 cc",181,185,7.0,26000.0,gasolina,5,250,cc,1500.0,
ford,F-150,"3,300 - 5,000 cc",290,200,5.0,35000.0,gasolina/diesel,5,400,cc,3300.0,
ford,F-250 Super Duty,"6,200 - 7,300 cc",385,180,6.5,40000.0,gasolina/diesel,5,700,cc,6200.0,
ford,F-350 Super Duty,"6,700 - 7,300 cc",450,180,7.0,45000.0,diesel,5,1050,cc,6700.0,
ford,Maverick,"2,500 - 2,000 cc",191,180,6.5,22000.0,hibrido/gasolina,5,250,cc,2500.0,
ford,Ranger,"2,300 - 2,700 cc",270,180,6.0,25000.0,gasolina/diesel,5,400,cc,2300.0,
ford,Mustang Mach-E,Battery (68-98 kWh),290,180,3.5,43000.0,electrico,5,430,Battery,68.0,
ford,F-150 Lightning,Battery (98 kWh),452,180,4.5,40000.0,electrico,5,1051,Battery,98.0,
ford,Escape Hybrid,"2,500 cc",200,180,7.7,28000.0,hibrido,5,210,cc,2500.0,
ford,Explorer Hybrid,"3,300 cc",318,180,7.5,50000.0,hibrido,7,500,cc,3300.0,
ford,Mustang,"5,000 cc",450,250,4.3,55000.0,gasolina,4,530,cc,5000.0,
ford,GT,"3,500 cc",660,348,3.0,500000.0,gasolina,2,746,cc,3500.0,
ford,Focus ST,"2,300 cc",280,250,5.7,30000.0,gasolina,5,420,cc,2300.0,
ford,Fiesta ST,"1,500 cc",200,230,6.5,23000.0,gasolina,5,290,cc,1500.0,
ford,Bronco Raptor,"3,000 cc",400,220,5.5,70000.0,gasolina,4,583,cc,3000.0,
ford,Ranger Raptor,"2,700 cc",392,200,6.0,45000.0,gasolina,5,583,cc,2700.0,
ford,F-150 Raptor,"3,500 cc",450,200,5.0,70000.0,gasolina,5,691,cc,3500.0,
ford,Puma,"1,000 cc",123,191,9.6,28000.0,gasolina,5,200,cc,1000.0,
ford,Territory,"1,500 cc",140,180,11.0,32000.0,gasolina,5,225,cc,1500.0,
ford,Everest,"2,000 cc",210,190,10.5,52000.0,diesel,7,500,cc,2000.0,
ford,Flex,"3,500 cc",287,200,7.9,31000.0,gasolina,7,345,cc,3500.0,
ford,Transit,"2,000 cc",170,160,12.0,43455.0,diesel,,405,cc,2000.0,
ford,Transit Connect,"2,000 cc",162,175,10.5,29365.0,gasolina,,200,cc,2000.0,
ford,F-450 Super Duty,"6,700 cc",475,165,8.5,61625.0,diesel,,1424,cc,6700.0,
ford,F-550 Super Duty,"6,700 cc",475,165,8.8,64540.0,diesel,,1424,cc,6700.0,
ford,Mustang Shelby GT500,"5,200 cc",760,290,3.5,79420.0,gasolina,2,847,cc,5200.0,
ford,Mustang Shelby GT350,"5,200 cc",526,280,4.0,59140.0,gasolina,2,582,cc,5200.0,
ford,F-150 Platinum,"3,500 cc",400,180,6.5,64695.0,gasolina,5,678,cc,3500.0,
ford,F-150 Limited,"3,500 cc",450,190,6.1,84910.0,gasolina,5,678,cc,3500.0,
ford,Explorer Platinum,"3,000 cc",400,230,6.0,56505.0,gasolina,7,563,cc,3000.0,
ford,Expedition King Ranch,"3,500 cc",440,210,6.8,79560.0,gasolina,,691,cc,3500.0,
ford,Transit Custom,"2,000 cc",130,160,12.5,35000.0,diesel,,385,cc,2000.0,
ford,E-Series Cutaway,"7,300 cc",350,140,13.0,36000.0,gasolina,2,569,cc,7300.0,
ford,Transit Chassis Cab,"2,000 cc",170,160,11.5,37000.0,diesel,2,405,cc,2000.0,
ford,Transit Electric (E-Transit),89 kWh (Electric),266,140,9.0,52000.0,electrico,,430,kWh,89.0,
ford,Explorer Plug-in Hybrid,"3,000 cc (petrol) + Electric Motor",457,225,6.0,53000.0,hibrido,7,825,cc,3000.0,
ford,Maverick Hybrid,"2,500 cc (petrol) + Electric Motor",191,180,7.8,25000.0,hibrido,5,210,cc,2500.0,
ford,Mustang (2024),"5,000 cc",450,250,4.5,60000.0,gasolina,4,570,cc,5000.0,
ford,Ranger (2024),"2,000 cc",210,180,8.0,40000.0,diesel,5,500,cc,2000.0,
ford,Escape Plug-in Hybrid (2024),"2,500 cc (petrol) + Electric Motor",221,190,7.5,38000.0,hibrido,5,210,cc,2500.0,
ford,Bronco (2024),"2,700 cc",310,200,6.7,45000.0,gasolina,5,542,cc,2700.0,
ford,Explorer (2024),"3,000 cc",400,230,5.9,55000.0,gasolina,7,563,cc,3000.0,
mitsubishi,Mirage,"1,200 cc",78,170,12.0,16000.0,gasolina,5,100,cc,1200.0,
